asset_id,market,price_zone,technology,turbine_model,commissioning_year,ownership_budget,ownership_actual,capacity_mw,reporting_period,budget_mwh,actual_mwh,deviation_mwh,deviation_pct,production_certainty,availability,availability_standardised,normalised_mwh,wind_index,avg_wind_ms,lost_production_wind_mwh,gained_production_wind_mwh,wind_impact_mwh,wind_adjusted_deviation_mwh,stoppage_mwh,loss_unavail_mwh,availability_unit,ownership_tier,exclusion_reason,in_operational_portfolio
DK-0001,Denmark,DK1,Wind - onshore,1 MW,1998,1.0,1.0,1.0,2025-01-31,171.955,168.51590000000002,-3.4390999999999963,-0.019999999999999976,Preliminary,0.52979,0.52979,196.18976059990555,0.8589433999242116,6.46,-27.673860599905538,,-27.673860599905538,24.23476059990554,,-70.812066339,fraction,Majority (>50%),ok,True
DK-0001,Denmark,DK1,Wind - onshore,1 MW,1998,1.0,1.0,1.0,2025-02-28,119.043,116.66214000000001,-2.3808599999999984,-0.019999999999999987,Preliminary,0.8345699999999999,0.8345699999999999,181.3810202290877,0.643188244572963,5.78,-64.7188802290877,,-64.7188802290877,62.338020229087704,,-13.466310820200004,fraction,Majority (>50%),ok,True
DK-0001,Denmark,DK1,Wind - onshore,1 MW,1998,1.0,1.0,1.0,2025-03-31,168.427954670525,142.8056,-25.622354670525,-0.15212649658215513,Preliminary,0.95004,0.95004,152.39912025816102,0.9370500286228044,6.31,-9.593520258161021,,-9.593520258161021,-16.028834412363977,,0.0057122240000057126,fraction,Majority (>50%),ok,True
DK-0001,Denmark,DK1,Wind - onshore,1 MW,1998,1.0,1.0,1.0,2025-04-30,152.88212130728218,76.75752,-76.12460130728218,-0.4979300434632062,Preliminary,0.99421,0.99421,116.03207138847515,0.6615198632713879,4.34,-39.274551388475146,,-39.274551388475146,-36.85004991880703,,3.3934499592000065,fraction,Majority (>50%),ok,True
DK-0001,Denmark,DK1,Wind - onshore,1 MW,1998,1.0,1.0,1.0,2025-05-31,128.217465979415,102.91862,-25.298845979415006,-0.19731201038926063,Preliminary,0.92316,0.92316,102.91862,1.0,5.71,0.0,,0.0,-25.298845979415006,,-2.7623357607999974,fraction,Majority (>50%),ok,True
DK-0001,Denmark,DK1,Wind - onshore,1 MW,1998,1.0,1.0,1.0,2025-06-30,98.847831,139.6892,40.841369,0.4131741545244427,Preliminary,0.963,0.963,95.67753424657535,1.46,6.47,,44.01166575342465,44.01166575342465,-3.170296753424651,,1.8159596000000016,fraction,Majority (>50%),ok,True
DK-0002,Denmark,DK1,Wind - onshore,1 MW,2000,0.6,0.6,1.0,2025-01-31,116.182,69.7092,-46.47280000000001,-0.4,Final,0.9811799999999999,0.9811799999999999,81.15691907773055,0.8589433999242116,5.99,-11.447719077730554,,-11.447719077730554,-35.02508092226945,,2.1735328559999987,fraction,Majority (>50%),ok,True
DK-0002,Denmark,DK1,Wind - onshore,1 MW,2000,0.6,0.6,1.0,2025-02-28,86.07,51.641999999999996,-34.428,-0.4,Final,0.9704900000000001,0.9704900000000001,80.29064653426164,0.643188244572963,5.2,-28.648646534261644,,-28.648646534261644,-5.779353465738353,,1.058144580000006,fraction,Majority (>50%),ok,True
DK-0002,Denmark,DK1,Wind - onshore,1 MW,2000,0.6,0.6,1.0,2025-03-31,140.73944349767504,72.231,-68.50844349767505,-0.486775006317307,Final,0.99395,0.99395,77.08339767745262,0.9370500286228044,5.56,-4.852397677452629,,-4.852397677452629,-63.65604582022242,,3.174552450000003,fraction,Majority (>50%),ok,True
DK-0002,Denmark,DK1,Wind - onshore,1 MW,2000,0.6,0.6,1.0,2025-04-30,107.6143948871378,34.419599999999996,-73.19479488713782,-0.6801580305673971,Final,0.9935200000000001,0.9935200000000001,52.031090691345405,0.6615198632713879,4.41,-17.61149069134541,,-17.61149069134541,-55.5833041957924,,1.4979409920000037,fraction,Majority (>50%),ok,True
